INN_Name,BrandName,Phase,Applicants,Links,LigID,pdbID,Type,RoF,MW,LogP,TPSA,HBA,HBD,NRB,Indications,Targets,Kinase families,Canonical_Smiles_InChiKey,First_Approval,SC_Patent,Chirality,Synonyms,FDA approved,Melting points (°C)
Cerdulatinib,nan,2.5,Portola pharmaceuticals,"ChemSpider
ChEMBL
PubChem
Guide to Pharmacology
ZINC
FDA SRS",NaN,NaN,nan,0,445.2,1.4,133.6,8,3,8,nan,"JAK1
SYK",Tyr,"Smiles=CCS(=O)(=O)N1CCN(CC1)c2ccc(cc2)Nc3ncc(c(n3)NC4CC4)C(=O)N
InChiKey=BGLPECHZZQDNCD-UHFFFAOYSA-N",nan,nan,Single Stereoisomer,PRT-062070,,
Ceritinib,Zykadia,4,Novartis,"ChemSpider
ChEMBL
PubChem
DrugBank
RCSB
PDBe
Guide to Pharmacology
ZINC
FDA SRS
BindingDB",'4MK',4mkc,1,2,557.2,6.4,105.2,8,3,9,Ceritinib is a kinase inhibitor indicated for the treatment of patients with anaplastic lymphoma kinase (ALK)-positive metastatic non-small cell lung cancer (NSCLC) who have progressed on or are intolerant to crizotinib. This indication is approved under accelerated approval based on tumor response rate and duration of response. An improvement in survival or disease-related symptoms has not been established. Continued approval for this indication may be contingent upon verification and description of clinical benefit in confirmatory trials.,ALK,Tyr,"Smiles=Cc1cc(c(cc1C2CCNCC2)OC(C)C)Nc3ncc(c(n3)Nc4ccccc4S(=O)(=O)C(C)C)Cl
InChiKey=VERWOWGGCGHDQE-UHFFFAOYSA-N",2014,US-7153964-B2,Achiral Molecule,"Zykadia
Ceritinib
NVP-LDK378-NX",Y,
Cobimetinib,Cotellic,4,Hoffmann-La Roche,"ChemSpider
ChEMBL
PubChem
DrugBank
RCSB
PDBe
Guide to Pharmacology
ZINC
FDA SRS
BindingDB",'EUI',4an2 4lmn,3,1,531.1,3.8,64.6,4,3,4,"For the treatment of patients with unresectable or metastatic melanoma with a BRAF V600E or V600K mutation. Cobimetinib is used in combination with vemurafenib, a BRAF inhibitor.",MAP2K1,STE,"Smiles=c1c(cc(c(c1)Nc2c(c(ccc2C(=O)N3C[C@@](C3)(O)[C@H]4NCCCC4)F)F)F)I
InChiKey=BSMCAPRUBJMWDF-KRWDZBQOSA-N",2015,US-7803839-B2,Single Stereoisomer,"Cotellic
RG-7421
GDC-0973
RG-7420
XL-518
Cobimetinib",Y,
Copanlisib,Aliqopa,4,Bayer,"ChemSpider
ChEMBL
PubChem
DrugBank
RCSB
PDBe
Guide to Pharmacology
ZINC
FDA SRS
BindingDB",'6E2',5g2n,1,1,480.2,0.7,139.8,11,2,7,Indicated for the treatment of adult patients with relapsed follicular lymphoma (FL) who have received at least two prior systemic therapies.,"PIK3CA
PIK3CB",Atypical,"Smiles=COc1c(ccc2c1N=C(N3C2=NCC3)NC(=O)c4cnc(nc4)N)OCCCN5CCOCC5
InChiKey=PZBCKZWLPGJMAO-UHFFFAOYSA-N",2017,US-7511041-B2,Achiral Molecule,"Copanlisib
BAY 80-6946
BAY-80-6946",Y,
Crenolanib,nan,3,Arog Pharmaceuticals,"ChemSpider
ChEMBL
PubChem
DrugBank
RCSB
PDBe
Guide to Pharmacology
ZINC
FDA SRS
BindingDB",'6T2',5lby 6bqp,1,0,443.2,3.9,78.4,7,1,5,nan,"FLT3
PDGFRA
PDGFRB",Tyr,"Smiles=CC1(COC1)COc2ccc3c(c2)ncn3c4ccc5cccc(c5n4)N6CCC(CC6)N
InChiKey=DYNHJHQFHQTFTP-UHFFFAOYSA-N",nan,nan,Achiral Molecule,"CP-868596
ARO-002
Crenolanib",,
Crizotinib,Xalkori,4,Pfizer,"ChemSpider
ChEMBL
PubChem
DrugBank
RCSB
PDBe
Guide to Pharmacology
ZINC
FDA SRS
BindingDB",'VGH',2wgj 2xp2 2yfx 3zbf 4anq 4ans 4c9w 5aaa 5aab 5aac 6imz,1,1,449.1,5,78,6,2,5,Crizotinib is used for the treatment of locally advanced or metastatic non-small cell lung cancer (NSCLC) that is anaplastic-lymphoma kinase (ALK)-positive as detected by a FDA-approved test.,"ALK
MET",Tyr,"Smiles=C[C@H](c1c(ccc(c1Cl)F)Cl)Oc2cc(cnc2N)c3cnn(c3)C4CCNCC4
InChiKey=KTEIFNKAUNYNJU-GFCCVEGCSA-N",2011,US-7230098-B2,Single Stereoisomer,"Xalkori
Crizotinib
PF-2341066",Y,
Dabrafenib,Tafinlar,4,GlaxoSmithKline,"ChemSpider
ChEMBL
PubChem
DrugBank
RCSB
PDBe
Guide to Pharmacology
ZINC
FDA SRS
BindingDB",'P06',4xv2 5csw 5hie,1.5,2,519.1,5.4,110.9,7,2,5,Dabrafenib is indicated for the treatment of patients with unresectable or metastatic melanoma with BRAF V600E mutation as detected by an FDA-approved test.,"BRAF
RAF1
SIK1
NEK11
LIMK1","NEK
TKL
CAMK","Smiles=CC(C)(C)c1nc(c(s1)c2ccnc(n2)N)c3cccc(c3F)NS(=O)(=O)c4c(cccc4F)F
InChiKey=BFSMGDJOXZAERB-UHFFFAOYSA-N",2013,US-7994185-B2,Achiral Molecule,"Tafinlar
GSK2118436A
Dabrafenib",Y,
Dacomitinib,Vizimpro,4,Pfizer,"ChemSpider
ChEMBL
PubChem
DrugBank
RCSB
PDBe
Guide to Pharmacology
ZINC
FDA SRS
BindingDB",'1C9',4i23 4i24,1,1,469.2,5.2,79.4,6,2,7,"On october 27, 2018, the FDA approved dacomitinib to treat metastatic non-small-cell lung cancer",EGFR,Tyr,"Smiles=COc1cc2c(cc1NC(=O)/C=C/CN3CCCCC3)c(ncn2)Nc4ccc(c(c4)Cl)F
InChiKey=LVXJQMNHJWSHET-AATRIKPKSA-N",2018,nan,Achiral Molecule,"Dacomitinib
PF-00299804",Y,184-187
Dactolisib,nan,2,Novartis,"ChemSpider
ChEMBL
PubChem
DrugBank
Guide to Pharmacology
ZINC
FDA SRS
BindingDB",NaN,NaN,nan,1,469.2,5.9,76.5,6,0,3,nan,"PIK3CA
PIK3CB
PIK3CG
PIK3CD
MTOR",Atypical,"Smiles=CC(C)(C#N)c1ccc(cc1)n2c3c4cc(ccc4ncc3n(c2=O)C)c5cc6ccccc6nc5
InChiKey=JOGKUKXHTYWRGZ-UHFFFAOYSA-N",nan,nan,Achiral Molecule,"Dactolisib
NVP-BEZ235-NX
BEZ-235
NVP-BEZ235",,
Danusertib,nan,2,Nerviano Medical Sciences,"ChemSpider
ChEMBL
PubChem
DrugBank
RCSB
PDBe
Guide to Pharmacology
ZINC
FDA SRS
BindingDB",'627',2j50 2v7a 4qo9 5i9z,1,0,474.2,2.6,93.8,6,2,6,nan,"AURKA
AURKB
AURKC",Other,"Smiles=CN1CCN(CC1)c2ccc(cc2)C(=O)Nc3c4c([nH]n3)CN(C4)C(=O)[C@@H](c5ccccc5)OC
InChiKey=XKFTZKGMDDZMJI-HSZRJFAPSA-N",nan,nan,Single Stereoisomer,"Danusertib
PHA-739358",,
Dasatinib,Sprycel,4,Bristol Myers Squibb,"ChemSpider
ChEMBL
PubChem
DrugBank
RCSB
PDBe
Guide to Pharmacology
ZINC
FDA SRS
BindingDB",'1N1',2gqg 2y6o 2zva 3g5d 3k54 3lfa 3oct 3oht 3qlg 3sxr 4qms 4xey 4xli 5bvw 5h2u 5i9y 5owr 5vcv 6bsd 6fnm,1,0,487.2,3.3,106.5,9,3,7,"For the treatment of adults with chronic, accelerated, or myeloid or lymphoid blast phase chronic myeloid leukemia with resistance or intolerance to prior therapy. Also indicated for the treatment of adults with Philadelphia chromosome-positive acute lymphoblastic leukemia with resistance or intolerance to prior therapy.","ABL1
SRC
EPHA2
LCK
YES1
KIT
PDGFRB
ABL2
FYN",Tyr,"Smiles=Cc1cccc(c1NC(=O)c2cnc(s2)Nc3cc(nc(n3)C)N4CCN(CC4)CCO)Cl
InChiKey=ZBNZXTGUTAYRHI-UHFFFAOYSA-N",2006,US-6596746-B1,Achiral Molecule,"Sprycel;Dasatinib
BMS-354825-03
BMS-354825
Dasatinib",Y,280-286
Decernotinib,nan,2,Vertex Pharmaceuticals,"ChemSpider
ChEMBL
PubChem
DrugBank
RCSB
PDBe
Guide to Pharmacology
ZINC
FDA SRS
BindingDB",'VJK',4yti,1,0,392.2,3.3,95.6,5,3,6,nan,JAK3,Tyr,"Smiles=CC[C@](C)(C(=O)NCC(F)(F)F)Nc1ccnc(n1)c2c[nH]c3c2cccn3
InChiKey=ASUGUQWIHMTFJL-QGZVFWFLSA-N",nan,nan,Single Stereoisomer,"VRT-831509
Adelatinib
VX-509
Decernotinib",,
Defactinib,nan,2,Verastem,"ChemSpider
ChEMBL
PubChem
DrugBank
RCSB
PDBe
Guide to Pharmacology
ZINC
FDA SRS",'7KD',5mah,1,1,510.1,2.4,142.1,9,3,8,nan,"PTK2
PTK2B",Tyr,"Smiles=CNC(=O)c1ccc(cc1)Nc2ncc(c(n2)NCc3c(nccn3)N(C)S(=O)(=O)C)C(F)(F)F
InChiKey=FWLMVFUGMHIOAA-UHFFFAOYSA-N",nan,nan,Achiral Molecule,"PF-04554878
VS-6063
Defactinib",,
Derazantinib,nan,1.5,ArQule,"ChemSpider
PubChem
DrugBank
Guide to Pharmacology
FDA SRS",NaN,NaN,nan,1,468.2,5.5,59.1,5,2,9,"Derazantinib (ARQ087) is an orally bioavailable, non-selective FGFR inhibitor being investigated for antineoplastic activity.",nan,,"Smiles=COCCNCCc1cccc(c1)Nc2ncc3c(n2)-c4ccccc4[C@@H](C3)c5ccccc5F
InChiKey=KPJDVVCDVBFRMU-AREMUKBSSA-N",nan,nan,nan,,,
Dezapelisib,nan,0,Incyte Corporation,"ChemSpider
ChEMBL
PubChem
Guide to Pharmacology
ZINC
FDA SRS
BindingDB",NaN,NaN,nan,0,421.1,3.7,100.9,8,2,4,nan,nan,,"Smiles=Cc1csc2n1c(=O)c(c(n2)[C@H](C)Nc3c4c([nH]cn4)ncn3)c5cccc(c5)F
InChiKey=RSIWALKZYXPAGW-NSHDSACASA-N",nan,nan,Single Stereoisomer,"INCB040093
Dezapelisib",,
Dilmapimod,nan,2,GlaxoSmithKline,"ChemSpider
ChEMBL
PubChem
DrugBank
Guide to Pharmacology
ZINC
FDA SRS",NaN,NaN,nan,0,456.1,2.9,100.3,7,3,6,"Dilmapimod has been used in trials studying the treatment and diagnostic of Nerve Trauma, Inflammation, Pain, Neuropathic, Arthritis, Rheumatoid, and Coronary Heart Disease, among others.","MAPK14
MAPK11
MAPK13
MAPK12",CMGC,"Smiles=Cc1cc(ccc1c2c3ccc(=O)n(c3nc(n2)NC(CO)CO)c4c(cccc4F)F)F
InChiKey=ORVNHOYNEHYKJG-UHFFFAOYSA-N",nan,nan,Achiral Molecule,"Dilmapimod
GW681323
SB-681323",,
Dinaciclib,nan,3,Schering-Plough,"ChemSpider
ChEMBL
PubChem
DrugBank
Guide to Pharmacology
ZINC
FDA SRS
BindingDB",NaN,NaN,nan,0,396.2,2.3,92.6,7,2,7,nan,"CDK4
CDK6
BRDT","(*)
CMGC","Smiles=CCc1cnn2c1nc(cc2NCc3ccc[n+](c3)[O-])N4CCCC[C@H]4CCO
InChiKey=PIMQWRZWLQKKBJ-SFHVURJKSA-N",nan,nan,Single Stereoisomer,"MK-7965
SCH-727965
Dinaciclib",,
Doramapimod,nan,2,Boehringer Ingelheim,"ChemSpider
ChEMBL
PubChem
DrugBank
RCSB
PDBe
Guide to Pharmacology
ZINC
FDA SRS
BindingDB",'B96',1kv2 3fzs 3npc 4jvg 4twn 5n66 6gtt,2,2,527.3,6,80.7,6,2,7,nan,MAPK14,CMGC,"Smiles=Cc1ccc(cc1)n2c(cc(n2)C(C)(C)C)NC(=O)Nc3ccc(c4c3cccc4)OCCN5CCOCC5
InChiKey=MVCOAUNKQVWQHZ-UHFFFAOYSA-N",nan,nan,Achiral Molecule,"Doramapimod
BIRB-796",,
Dovitinib,nan,3,Novartis,"ChemSpider
ChEMBL
PubChem
DrugBank
RCSB
PDBe
ZINC
FDA SRS
BindingDB",'38O',4tyi 5a46 5am6 5am7 5owq,1,0,392.2,2.5,94,5,3,2,nan,"FGFR3
VEGFA
FGFR1
PDGFRA
KIT
CSF1R","(*)
Tyr","Smiles=CN1CCN(CC1)c2ccc3c(c2)[nH]c(n3)c4c(c5c(cccc5F)[nH]c4=O)N
InChiKey=PIQCTGMSNWUMAF-UHFFFAOYSA-N",nan,nan,Achiral Molecule,"GFKI-258
TKI-258
CHIR-258
NVP-TKI258
Dovitinib",,
Duvelisib,Copiktra,4,Infinity Pharmacueticals,"ChemSpider
ChEMBL
PubChem
DrugBank
Guide to Pharmacology
ZINC
FDA SRS
BindingDB",NaN,NaN,nan,0,416.1,4.5,88.5,6,2,4,"On october 27, 2018, the FDA approved duvelisib to treat relapsed or refractory chronic lymphocytic leukemia, small lymphocytic lymphoma and follicular lymphoma","PIK3CD
PIK3CG",Atypical,"Smiles=C[C@@H](c1cc2cccc(c2c(=O)n1c3ccccc3)Cl)Nc4c5c([nH]cn5)ncn4
InChiKey=SJVQHLPISAIATJ-ZDUSSCGKSA-N",2018,nan,Single Stereoisomer,"INK-1197
INK-1147
IPI-145
Duvelisib",Y,>190
Encorafenib,Braftovi,4,Novartis,"ChemSpider
ChEMBL
PubChem
DrugBank
Guide to Pharmacology
ZINC
FDA SRS
BindingDB",NaN,NaN,nan,1,539.2,3.9,140.1,9,3,9,"On June 27, 2018, the Food and Drug Administration approved encorafenib and binimetinib in combination patients with unresectable or metastatic melanoma with a BRAF V600E or V600K mutation, as detected by an FDA-approved test.",BRAF,TKL,"Smiles=C[C@@H](CNc1nccc(n1)c2cn(nc2c3cc(cc(c3F)NS(=O)(=O)C)Cl)C(C)C)NC(=O)OC
InChiKey=CMJCXYNUCSMDBY-ZDUSSCGKSA-N",2018,nan,Single Stereoisomer,"NVP-LGX818-NXA
LGX-818
Encorafenib
NVP-LGX818",Y,
Ensartinib,nan,3,Xcovery,"ChemSpider
ChEMBL
PubChem
DrugBank
ZINC
FDA SRS
BindingDB",NaN,NaN,nan,1,560.2,4.7,122.5,7,3,6,nan,ALK,Tyr,"Smiles=C[C@@H]1CN(C[C@@H](N1)C)C(=O)c2ccc(cc2)NC(=O)c3cc(c(nn3)N)O[C@H](C)c4c(ccc(c4Cl)F)Cl
InChiKey=GLYMPHUVMRFTFV-QLFBSQMISA-N",nan,nan,nan,"X-396
X396
X-396 CAPSULES
ENSARTINIB",,
Entospletinib,nan,2,Gilead Sciences,"ChemSpider
ChEMBL
PubChem
DrugBank
RCSB
PDBe
Guide to Pharmacology
ZINC
FDA SRS
BindingDB",'CG9',4puz,1,0,411.2,3.9,83.4,7,2,4,nan,SYK,Tyr,"Smiles=c1cc(ccc1Nc2c3nccn3cc(n2)c4ccc5cn[nH]c5c4)N6CCOCC6
InChiKey=XSMSNFMDVXXHGJ-UHFFFAOYSA-N",nan,nan,Achiral Molecule,"GS-9973
Entospletinib",,
Entrectinib,Rozlytrek,4,Ignyta,"ChemSpider
ChEMBL
PubChem
DrugBank
RCSB
PDBe
Guide to Pharmacology
ZINC
FDA SRS
BindingDB",'YMX',5fto 5kvt,1,2,560.3,5,85.5,6,3,7,"On august 2019, FDA approved entrectinib to treat adult patients with metastatic non-small cell lung cancer (NSCLC) whose tumors are ROS1-positive and to treat adult and pediatric patients 12 years of age and older with solid tumors","NTRK1
NTRK2
NTRK3
ROS1
ALK",Tyr,"Smiles=CN1CCN(CC1)c2ccc(c(c2)NC3CCOCC3)C(=O)Nc4c5cc(ccc5[nH]n4)Cc6cc(cc(c6)F)F
InChiKey=HAYYBYPASCDWEQ-UHFFFAOYSA-N",2019,nan,Achiral Molecule,"Entrectinib
RXDX-101
NMS-E628",Y,
Enzastaurin,nan,3,Eli Lilly,"ChemSpider
ChEMBL
PubChem
DrugBank
Guide to Pharmacology
ZINC
FDA SRS
BindingDB",NaN,NaN,nan,1,515.2,4.9,72.2,6,1,5,nan,nan,,"Smiles=Cn1cc(c2c1cccc2)C3=C(C(=O)NC3=O)c4cn(c5c4cccc5)C6CCN(CC6)Cc7ccccn7
InChiKey=AXRCEOKUDYDWLF-UHFFFAOYSA-N",nan,nan,Achiral Molecule,"LY-317615
Enzastaurin",,
Erdafitinib,Balversa,4,Janssen,"ChemSpider
ChEMBL
PubChem
DrugBank
RCSB
PDBe
Guide to Pharmacology
ZINC
FDA SRS",'5SF',5ew8,1,0,446.2,4.2,77.3,8,1,9,"On april 2019, FDA approved erdafitinib to treat adult patients with locally advanced or metastatic bladder cancer",FGFR1,Tyr,"Smiles=CC(C)NCCN(c1ccc2c(c1)nc(cn2)c3cnn(c3)C)c4cc(cc(c4)OC)OC
InChiKey=OLAHOMJCDNXHFI-UHFFFAOYSA-N",2019,nan,Achiral Molecule,"Erdafitinib
JNJ-42756493",Y,
Erlotinib,Tarceva,4,Osi Pharmaceuticals,"ChemSpider
ChEMBL
PubChem
DrugBank
RCSB
PDBe
Guide to Pharmacology
ZINC
FDA SRS
BindingDB",'AQ4',1m17 4hjo 6dwn,1.5,0,393.2,3.4,74.7,7,1,10,"For the treatment of patients with locally advanced or metastatic non-small cell lung cancer after failure of at least one prior chemotherapy regimen. Also for use, in combination with gemcitabine, as the first-line treatment of patients with locally advanced, unresectable or metastatic pancreatic cancer.","EGFR
NR1I2","(*)
Tyr","Smiles=COCCOc1cc2c(cc1OCCOC)ncnc2Nc3cccc(c3)C#C
InChiKey=AAKJLRGGTJKAMG-UHFFFAOYSA-N",2004,US-5747498-A,Achiral Molecule,"Tarceva
Erlotinib
OSI-774
RG-1415
CP-358774
R-1415
Ro-508231",Y,
Evobrutinib,nan,2,Merck,"ChemSpider
ChEMBL
PubChem
DrugBank
RCSB
PDBe
Guide to Pharmacology
ZINC
FDA SRS
BindingDB",'MZJ',6omu,nan,0,429.2,4.4,93.4,6,2,7,nan,BTK,Tyr,"Smiles=C=CC(=O)N1CCC(CC1)CNc2c(c(ncn2)N)c3ccc(cc3)Oc4ccccc4
InChiKey=QUIWHXQETADMGN-UHFFFAOYSA-N",nan,nan,nan,EVOBRUTINIB,,
Famitinib,nan,3,Jiangsu Hengrui Medicine,"ChemSpider
ChEMBL
PubChem
DrugBank
Guide to Pharmacology
ZINC
FDA SRS
BindingDB",NaN,NaN,nan,0,410.2,3.3,68.4,3,2,6,nan,"KIT
KDR
FLT4
PDGFRA
PDGFRB
FLT1
FLT3",Tyr,"Smiles=CCN(CC)CCN1CCc2c(c(c([nH]2)/C=C\3/c4cc(ccc4NC3=O)F)C)C1=O
InChiKey=GKEYKDOLBLYGRB-LGMDPLHJSA-N",nan,nan,nan,SHR-1020,,
Fasudil,nan,4,Asahi Kasei Pharma Corp,"ChemSpider
ChEMBL
PubChem
DrugBank
RCSB
PDBe
Guide to Pharmacology
ZINC
FDA SRS
BindingDB",'M77',1q8w 2esm 2f2u 2gni 3tku 5lcp 5nw8 5o0e 5ok3 5vef 6em2 6emb 6ers 6erw 6i2a 6i2c,nan,0,291.1,1.2,62.3,4,1,2,Fasudil is a potent inhibitor of the Rho-kinases ROCK1 and ROCK2.,nan,,"Smiles=c1cc2cnccc2c(c1)S(=O)(=O)N3CCCNCC3
InChiKey=NGOGFTYYXHNFQH-UHFFFAOYSA-N",nan,nan,Achiral Molecule,"HA-1077
Fasudil
ZK-258594
AT-877",N,
Fedratinib,Inrebic,4,Sanofi,"ChemSpider
ChEMBL
PubChem
DrugBank
RCSB
PDBe
Guide to Pharmacology
ZINC
FDA SRS
BindingDB",'2TA',4ogj 4ps5,nan,1,524.3,4.8,108.5,8,3,10,"On august 2019, FDA approved fedratinib to treat adult patients with intermediate-2 or high-risk primary or secondary myelofibrosis","JAK2
FLT3
BRD4","(*)
Tyr","Smiles=Cc1cnc(nc1Nc2cccc(c2)S(=O)(=O)NC(C)(C)C)Nc3ccc(cc3)OCCN4CCCC4
InChiKey=JOOXLOJCABQBSG-UHFFFAOYSA-N",2019,nan,Achiral Molecule,"SAR-302503
Fedratinib
TG101348
TG-101348",Y,
Filgotinib,nan,3,Galapagos,"ChemSpider
ChEMBL
PubChem
DrugBank
RCSB
PDBe
Guide to Pharmacology
ZINC
FDA SRS
BindingDB",'2HB',4p7e 5ut5,1,0,425.2,2,96.7,7,1,5,nan,JAK1,Tyr,"Smiles=c1cc(n2c(c1)nc(n2)NC(=O)C3CC3)c4ccc(cc4)CN5CCS(=O)(=O)CC5
InChiKey=RIJLVEAXPNLDTC-UHFFFAOYSA-N",nan,nan,Achiral Molecule,"G-146034
GLPG-0634
Filgotinib",,
Flumatinib,nan,3,Jiangsu Hengrui Medicine,"ChemSpider
ChEMBL
PubChem
DrugBank
Guide to Pharmacology
ZINC
FDA SRS",NaN,NaN,nan,2,562.2,5,99.2,8,2,7,nan,"BCR
ABL1
PDGFRB
KIT","Atypical
Tyr","Smiles=Cc1c(cc(cn1)NC(=O)c2ccc(c(c2)C(F)(F)F)CN3CCN(CC3)C)Nc4nccc(n4)c5cccnc5
InChiKey=BJCJYEYYYGBROF-UHFFFAOYSA-N",nan,nan,Achiral Molecule,"HHGV-678
Flumatinib",,
Foretinib,nan,2,GlaxoSmithKline,"ChemSpider
ChEMBL
PubChem
DrugBank
RCSB
PDBe
Guide to Pharmacology
ZINC
FDA SRS
BindingDB",'88Z',3lq8 5ia4 6i2y 6sd9 6sdc,2,2,632.2,5.8,111.2,8,2,12,nan,"MET
KDR",Tyr,"Smiles=COc1cc2c(ccnc2cc1OCCCN3CCOCC3)Oc4ccc(cc4F)NC(=O)C5(CC5)C(=O)Nc6ccc(cc6)F
InChiKey=CXQHYVUVSFXTMY-UHFFFAOYSA-N",nan,nan,Achiral Molecule,"EXEL-2880
Foretinib
GSK1363089G
GSK1363089
GSK-1363089
XL-880
GSK089",,
Fostamatinib,Tavalisse,4,Rigel Pharmaceuticals,"ChemSpider
ChEMBL
PubChem
DrugBank
RCSB
PDBe
Guide to Pharmacology
ZINC
FDA SRS
BindingDB",'2RC',4o75,nan,2,580.1,3.1,186.7,12,4,10,Indicated for the treatment of chronic immune thrombocytopenia (ITP) in adult patients who have had an insufficient response to a previous treatment,SYK,Tyr,"Smiles=CC1(C(=O)N(c2c(ccc(n2)Nc3c(cnc(n3)Nc4cc(c(c(c4)OC)OC)OC)F)O1)COP(=O)(O)O)C
InChiKey=GKDRMWXFWHEQQT-UHFFFAOYSA-N",2018,nan,Achiral Molecule,"R-935788
R-788 Free acid
R-935788 Free acid
Fostamatinib
R-788",Y,
Fruquintinib,nan,3,Hutchison MediPharma,"ChemSpider
PubChem
DrugBank
Guide to Pharmacology
ZINC
FDA SRS",NaN,NaN,nan,0,393.1,3.9,95.7,7,1,5,nan,"FLT1
KDR
FLT4",Tyr,"Smiles=Cc1c(c2ccc(cc2o1)Oc3c4cc(c(cc4ncn3)OC)OC)C(=O)NC
InChiKey=BALLNEJQLSTPIO-UHFFFAOYSA-N",nan,nan,Single Stereoisomer,"HMP-013

HMPL-013",,
Galunisertib,nan,2,Eli Lilly,"ChemSpider
ChEMBL
PubChem
DrugBank
Guide to Pharmacology
ZINC
FDA SRS
BindingDB",NaN,NaN,nan,0,369.2,3.5,86.7,5,1,3,nan,TGFBR1,TKL,"Smiles=Cc1cccc(n1)c2c(c3n(n2)CCC3)c4ccnc5c4cc(cc5)C(=O)N
InChiKey=IVRXNBXKWIJUQB-UHFFFAOYSA-N",nan,nan,Achiral Molecule,"Galunisertib
LY-2157299",,
Gandotinib,nan,2,Eli Lilly,"ChemSpider
ChEMBL
PubChem
DrugBank
Guide to Pharmacology
ZINC
FDA SRS",NaN,NaN,nan,0,469.2,4,83.4,7,2,6,nan,JAK2,Tyr,"Smiles=Cc1cc(n[nH]1)Nc2cc(c3nc(c(n3n2)Cc4ccc(cc4F)Cl)C)CN5CCOCC5
InChiKey=SQSZANZGUXWJEA-UHFFFAOYSA-N",nan,nan,Achiral Molecule,"LY-2784544
Gandotinib",,
Gedatolisib,nan,2,Pfizer,"ChemSpider
ChEMBL
PubChem
DrugBank
Guide to Pharmacology
ZINC
FDA SRS
BindingDB",NaN,NaN,nan,1,615.3,3,128.3,10,2,7,nan,"PIK3CA
PIK3CB
PIK3CG
PIK3CD
MTOR",Atypical,"Smiles=CN(C)C1CCN(CC1)C(=O)c2ccc(cc2)NC(=O)Nc3ccc(cc3)c4nc(nc(n4)N5CCOCC5)N6CCOCC6
InChiKey=DWZAEMINVBZMHQ-UHFFFAOYSA-N",nan,nan,Achiral Molecule,"PKI-587
Gedatolisib
PF-05212384",,
Gefitinib,Iressa,4,Astrazeneca,"ChemSpider
ChEMBL
PubChem
DrugBank
RCSB
PDBe
Guide to Pharmacology
ZINC
FDA SRS
BindingDB",'IRE',2ito 2ity 2itz 3ug2 4i22 4wkq 5y7z 5y80,1.5,0,446.2,4.3,68.7,7,1,8,For the continued treatment of patients with locally advanced or metastatic non-small cell lung cancer after failure of either platinum-based or docetaxel chemotherapies.,EGFR,Tyr,"Smiles=COc1cc2c(cc1OCCCN3CCOCC3)c(ncn2)Nc4ccc(c(c4)Cl)F
InChiKey=XGALLCVXEZPNRQ-UHFFFAOYSA-N",2003,US-5770599-A,Achiral Molecule,"Iressa
Gefitinib
Iressa
ZD-1839",Y,
Gilteritinib,Xospata,4,Astellas Pharma,"ChemSpider
ChEMBL
PubChem
DrugBank
RCSB
PDBe
Guide to Pharmacology
ZINC
FDA SRS
BindingDB",'C6F',6jqr,nan,1,552.4,2.7,121.1,10,3,9,"On november 28, 2018, the FDA approved gilteritinib to treat patients who have relapsed or refractory acute myeloid leukemia (AML)","FLT3
AXL
ALK",Tyr,"Smiles=CCc1c(nc(c(n1)C(=O)N)Nc2ccc(c(c2)OC)N3CCC(CC3)N4CCN(CC4)C)NC5CCOCC5
InChiKey=GYQYAJJFPNQOOW-UHFFFAOYSA-N",2018,nan,Achiral Molecule,"ASP-2215
Gilteritinib",Y,
Glesatinib,nan,2,Mirati Therapeutics,"ChemSpider
ChEMBL
PubChem
DrugBank
ZINC
FDA SRS",NaN,NaN,nan,2,619.2,6.2,97.4,8,3,11,nan,"MET
TEK
FLT1
KDR
FLT4
MST1R",Tyr,"Smiles=COCCNCc1ccc(nc1)c2cc3c(s2)c(ccn3)Oc4ccc(cc4F)NC(=S)NC(=O)Cc5ccc(cc5)F
InChiKey=YRCHYHRCBXNYNU-UHFFFAOYSA-N",nan,nan,Achiral Molecule,"MG90265H9
MG90265gly
MGCD265
MG90265
MG90265X
Glesatinib",,
Golvatinib,nan,2,Eisai,"ChemSpider
ChEMBL
PubChem
DrugBank
RCSB
PDBe
Guide to Pharmacology
ZINC
FDA SRS
BindingDB",'GV0',5ia5,2,1,633.3,4.8,119.1,7,3,8,nan,"MET
KDR",Tyr,"Smiles=CN1CCN(CC1)C2CCN(CC2)C(=O)Nc3cc(ccn3)Oc4ccc(c(c4)F)NC(=O)C5(CC5)C(=O)Nc6ccc(cc6)F
InChiKey=UQRCJCNVNUFYDX-UHFFFAOYSA-N",nan,nan,Achiral Molecule,"E-7050
Golvatinib
E7050",,
Henatinib,nan,1,Jiangsu Hengrui Medicine,"ChemSpider
ChEMBL
PubChem
DrugBank
Guide to Pharmacology
ZINC
FDA SRS
BindingDB",NaN,NaN,nan,0,468.2,2,97.9,5,3,5,nan,KDR,Tyr,"Smiles=Cc1c([nH]c2c1C(=O)N(CCC2)C[C@@H](CN3CCOCC3)O)/C=C\4/c5cc(ccc5NC4=O)F
InChiKey=MCTXSDCWFQAGFS-UEXNTNOUSA-N",nan,nan,Single Stereoisomer,,,
